,course_type,Level,subject,language,price,enrolled
911,Self-paced on your time,Introductory,Environmental Studies,Español,FREE-Add a Verified Certificate for $25 USD,38581
912,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $59 USD,7421
913,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $125 USD,34190
914,Self-paced on your time,Advanced,Engineering,English,FREE-Add a Verified Certificate for $99 USD,19043
915,Self-paced on your time,Advanced,Engineering,English,FREE-Add a Verified Certificate for $199 USD,16094
916,Self-paced on your time,Intermediate,Science,English,FREE-Add a Verified Certificate for $49 USD,7501
917,Self-paced on your time,Intermediate,Business & Management,English,FREE-Add a Verified Certificate for $149 USD,14003
918,Self-paced on your time,Intermediate,Social Sciences,English,FREE-Add a Verified Certificate for $169 USD,16467
919,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $139 USD,20406
920,Self-paced on your time,Advanced,Social Sciences,English,FREE-Add a Verified Certificate for $199 USD,9522
922,Self-paced on your time,Introductory,Medicine,English,FREE-Add a Verified Certificate for $59 USD,8343
923,Self-paced on your time,Intermediate,Social Sciences,English,FREE-Add a Verified Certificate for $49 USD,10019
925,Instructor-led on a course schedule,Advanced,Engineering,English,FREE-Add a Verified Certificate for $249 USD,8581
927,Self-paced on your time,Intermediate,Business & Management,English,FREE-Add a Verified Certificate for $199 USD,6237
928,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $49 USD,14128
929,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $139 USD,5741
930,Self-paced on your time,Intermediate,Computer Science,English,FREE-Add a Verified Certificate for $99 USD,22349
934,Self-paced on your time,Introductory,Engineering,English,FREE-Add a Verified Certificate for $50 USD,27763
935,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $199 USD,19283
936,Self-paced on your time,Introductory,Humanities,Español,FREE-Add a Verified Certificate for $29 USD,12674
937,Self-paced on your time,Intermediate,Physics,English,FREE-Add a Verified Certificate for $49 USD,13183
941,Self-paced on your time,Introductory,Business & Management,Español,FREE-Add a Verified Certificate for $149 USD,7911
942,Self-paced on your time,Intermediate,Computer Science,English,FREE-Add a Verified Certificate for $125 USD,23100
945,Self-paced on your time,Introductory,History,English,FREE-Add a Verified Certificate for $50 USD,17941
948,Self-paced on your time,Advanced,Education & Teacher Training,English,FREE-Add a Verified Certificate for $199 USD,11895
949,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $49 USD,5930
950,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $49 USD,10817
952,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $60 USD,34261
953,Self-paced on your time,Introductory,History,English,FREE-Add a Verified Certificate for $139 USD,41537
954,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $49 USD,6443
955,Self-paced on your time,Introductory,Business & Management,Español,FREE-Add a Verified Certificate for $150 USD,28100
956,Self-paced on your time,Intermediate,Biology & Life Sciences,English,FREE-Add a Verified Certificate for $169 USD,25893
957,Self-paced on your time,Introductory,Science,Español,FREE-Add a Verified Certificate for $50 USD,6149
959,Self-paced on your time,Advanced,Engineering,English,FREE-Add a Verified Certificate for $169 USD,10205
960,Self-paced on your time,Introductory,Physics,Español,FREE-Add a Verified Certificate for $49 USD,15040
961,Self-paced on your time,Intermediate,Food & Nutrition,English,FREE-Add a Verified Certificate for $49 USD,6480
963,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $99 USD,9294
964,Self-paced on your time,Introductory,Education & Teacher Training,English,FREE-Add a Verified Certificate for $99 USD,20355
966,Self-paced on your time,Introductory,Science,Español,FREE-Add a Verified Certificate for $50 USD,8657
969,Self-paced on your time,Introductory,History,English,FREE-Add a Verified Certificate for $139 USD,41902
972,Self-paced on your time,Advanced,Biology & Life Sciences,English,FREE-Add a Verified Certificate for $139 USD,11246
973,Self-paced on your time,Introductory,Environmental Studies,English,FREE-Add a Verified Certificate for $25 USD,8775
