,name,institution,course_id
323,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",bayesian-statistics
324,Reporting extra-financier et stratégie RSE,ESSEC Business School,reporting-extra-financier-strategie-rse
325,Leading Healthcare Quality and Safety,The George Washington University,quality-healthcare
326,Understanding International Relations Theory,National Research University Higher School of Economics,international-relations-theory
327,Introduction to Data Analytics,IBM,introduction-to-data-analytics
328,Fundamentos de Excel para Negocios,Universidad Austral,excel-para-negocios
329,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,gcp-infrastructure-scaling-automation
330,Cultural Competence - Aboriginal Sydney,The University of Sydney,cultural-competence-aboriginal-sydney
331,Fundamentos de Finanzas Empresariales,Universidad de los Andes,finanzas-empresariales
332,Greening the Economy: Sustainable Cities,Lund University,gte-sustainable-cities
333,Introduction to Engineering Mechanics,Georgia Institute of Technology,engineering-mechanics-statics
334,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,design-strategy
335,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,bioinformatics
336,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,medical-research
337,Health Behavior Change: From Evidence to Action,Yale University,health-behavior-change
338,Ordered Data Structures,University of Illinois at Urbana-Champaign,cs-fundamentals-2
339,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,mindshift
340,Programming Fundamentals,Duke University,programming-fundamentals
341,Understanding Financial Markets,University of Geneva,understanding-financial-markets
342,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,painting
343,Drug Commercialization,University of California San Diego,drug-commercialization
344,Introduction to Software Product Management,University of Alberta,introduction-to-software-product-management
345,"Social Norms, Social Change I",Unicef,norms
346,Excel Skills for Business: Intermediate II,Macquarie University,excel-intermediate-2
347,Aboriginal Worldviews and Education,University of Toronto,aboriginal-education
348,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,information-systems-audit
349,Six Sigma Principles,University System of Georgia,six-sigma-principles
350,Business Writing,University of Colorado Boulder,writing-for-business
351,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,autodesk-autocad-design-drafting
352,Introduction to Typography,California Institute of the Arts,typography
353,Customer Segmentation and Prospecting,Northwestern University,customer-segmentation-prospecting
354,Claves para Gestionar Personas,IESE Business School,gestionar-personas
355,English for Journalism,University of Pennsylvania,journalism
356,How Things Work: An Introduction to Physics,University of Virginia,how-things-work
357,Business English: Networking,University of Washington,business-english-intro
358,Summary Statistics in Public Health,Johns Hopkins University,summary-statistics
359,The Changing Global Order,Universiteit Leiden,changing-global-order
360,Global Energy and Climate Policy,University of London,globalenergyandclimatepolicy
361,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,legaltech
362,Probability and Statistics: To p or not to p?,University of London,probability-statistics
363,Gut Check: Exploring Your Microbiome,University of Colorado Boulder,microbiome
364,Econometrics: Methods and Applications,Erasmus University Rotterdam,erasmus-econometrics
365,Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology,golang-webservices-1
366,Mastering Data Analysis in Excel,Duke University,analytics-excel
367,Basic Statistics,University of Amsterdam,basic-statistics
368,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,python-data-visualization
369,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,uva-darden-design-thinking-social-sector
370,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,introduction-portfolio-construction-python
371,Data Analytics for Lean Six Sigma,University of Amsterdam,data-analytics-for-lean-six-sigma
372,Refugees in the 21st Century,University of London,refugees-21st-century
373,Building Containerized Applications on AWS,Amazon Web Services,containerized-apps-on-aws
374,Business Transformation with Google Cloud,Google Cloud,business-transformation-google-cloud
375,Version Control with Git,Atlassian,version-control-with-git
376,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),transmedia-storytelling
377,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,excel-aplicado-negocios-avanzado
378,Introduction to Public Speaking,University of Washington,public-speaking
379,Building Conversational Experiences with Dialogflow,Google Cloud,conversational-experiences-dialogflow
380,Guitar for Beginners,Berklee College of Music,guitar
381,Managing Project Risks and Changes,"University of California, Irvine",project-risk-management
382,L'excellence opérationnelle en pratique,ESSEC Business School,excellence-operationnelle
383,Introduction to Cloud Computing,IBM,introduction-to-cloud
384,Sample-based Learning Methods,Alberta Machine Intelligence Institute,sample-based-learning-methods
385,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,progfun1
386,Introduction to Blockchain Technologies,INSEAD,introduction-blockchain-technologies
387,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,environmental-law
388,"Cameras, Exposure, and Photography",Michigan State University,exposure-photography
389,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,democracia
390,Dentistry 101,University of Michigan,dentistry101
391,"Python Functions, Files, and Dictionaries",University of Michigan,python-functions-files-dictionaries
392,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,anticorrupcion-introduccion
393,Positive Psychology: Applications and Interventions,University of Pennsylvania,positive-psychology-applications
394,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,introduction-embedded-systems
395,Personal & Family Financial Planning,University of Florida,family-planning
396,A Law Student's Toolkit,Yale University,law-student
397,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,intro-data-science-programacion-estadistica-r
398,"Cybersecurity Roles, Processes & Operating System Security",IBM,cybersecurity-roles-processes-operating-system-security
399,Computational Neuroscience,University of Washington,computational-neuroscience
400,De-Mystifying Mindfulness,Universiteit Leiden,mindfulness
401,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,smart-cities
402,Getting Started with Go,"University of California, Irvine",golang-getting-started
403,Introduction to Economic Theories,Erasmus University Rotterdam,intro-economic-theories
404,Probabilistic Graphical Models 1: Representation,Stanford University,probabilistic-graphical-models
405,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",principles-of-microeconomics
406,Introduction to Personal Branding,University of Virginia,personal-branding
407,Love as a Force for Social Justice,Stanford University,love-social-justice
408,Mathematical Thinking in Computer Science,University of California San Diego,what-is-a-proof
409,Introduction to Genetics and Evolution,Duke University,genetics-evolution
410,Основы программирования на Python,National Research University Higher School of Economics,python-osnovy-programmirovaniya
411,Improving Communication Skills,University of Pennsylvania,wharton-communication-skills
412,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,introduction-trading-machine-learning-gcp
413,Python Programming: A Concise Introduction,Wesleyan University,python-programming-introduction
414,"The Modern World, Part Two: Global History since 1910",University of Virginia,modern-world-2
415,Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,plantknows
416,Excel Fundamentals for Data Analysis,Macquarie University,excel-data-analysis-fundamentals
417,Finanzas personales,Universidad Nacional Autónoma de México,finanzas-personales
418,English Composition I,Duke University,english-composition
419,Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,healthcarejobs
420,Introduction to Self-Driving Cars,University of Toronto,intro-self-driving-cars
421,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,corporate-commercial-law-part1
422,Blockchain Basics,University at Buffalo,blockchain-basics
423,Foundations of Business Strategy,University of Virginia,uva-darden-foundations-business-strategy
424,Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,ciencia-computacao-python-conceitos
425,Stochastic processes,National Research University Higher School of Economics,stochasticprocesses
426,Foundations for Big Data Analysis with SQL,Cloudera,foundations-big-data-analysis-sql
427,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,innovation-through-design
428,Perfect Tenses and Modals,"University of California, Irvine",perfect-tenses-modals
429,Getting Started with Azure,LearnQuest,cloud-azure-intro
430,Moralities of Everyday Life,Yale University,moralities
431,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,revisao-sistematica
432,Understanding child development: from synapse to society,Utrecht University,child-development
433,Introduction to G Suite,Google Cloud,introduction-g-suite
434,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,aprendiendo-a-aprender
435,Building Batch Data Pipelines on GCP,Google Cloud,batch-data-pipelines-gcp
436,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,financial-planning
437,Quantitative Methods,University of Amsterdam,quantitative-methods
438,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",University of Rochester,self-determination-theory
439,The Technology of Music Production,Berklee College of Music,technology-of-music-production
440,Code Yourself! An Introduction to Programming,The University of Edinburgh,intro-programming
441,Success,University of Pennsylvania,wharton-success
442,Chemicals and Health,Johns Hopkins University,chemicals-health
443,Improving your statistical inferences,Eindhoven University of Technology,statistical-inferences
444,Fundamentals of Finance,University of Pennsylvania,finance-fundamentals
445,How Google does Machine Learning,Google Cloud,google-machine-learning
446,Object-Oriented Design,University of Alberta,object-oriented-design
447,Introduction to Intellectual Property,University of Pennsylvania,introduction-intellectual-property
448,Cost and Economics in Pricing Strategy,BCG,uva-darden-bcg-pricing-strategy-cost-economics
449,Write A Feature Length Screenplay For Film Or Television,Michigan State University,write-a-feature-length-screenplay-for-film-or-television
450,Marketing Gerencial,Universidad de Chile,marketing-gerencial
451,Corporate Finance Essentials,IESE Business School,corporate-finance-essentials
452,Information Security: Context and Introduction,"Royal Holloway, University of London",information-security-data
453,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,trunk-anatomy
454,Introduction to CSS3,University of Michigan,introcss
455,Applied Data Science Capstone,IBM,applied-data-science-capstone
456,Introduction aux Droits de l’Homme,University of Geneva,droits-de-lhomme
457,"Programming Languages, Part A",University of Washington,programming-languages
458,Big History: Connecting Knowledge,Macquarie University,big-history
459,Leadership in 21st Century Organizations,Copenhagen Business School,leadership-21st-century
460,Software Processes and Agile Practices,University of Alberta,software-processes-and-agile-practices
461,DevOps Culture and Mindset,"University of California, Davis",devops-culture-and-mindset
462,Introduction to Statistics & Data Analysis in Public Health,Imperial College London,introduction-statistics-data-analysis-public-health
463,Discrete Optimization,The University of Melbourne,discrete-optimization
464,Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology,c-plus-plus-white
465,COVID-19 Contact Tracing For Nursing Professionals,University of Houston,covid-19-contact-tracing-for-nursing-professionals
466,High Stakes Leadership: Leading in Times of Crisis,University of Michigan,high-stakes-leadership
467,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,epidemiology-tools
468,Epigenetic Control of Gene Expression,The University of Melbourne,epigenetics
469,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,recruiting-hiring-onboarding-employees
470,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,aws-fundamentals-addressing-security-risk
471,Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,plato
472,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,social-innovation
473,Spanish for Successful Communication in Healthcare Settings,Rice University,spanish-in-healthcare-settings
